protein1	protein2
MAPK6	DDR1
MAPK6	CDH13
MAPK6	BAG6
MAPK6	CFL1
MAPK6	KNSTRN
MAPK6	EDF1
MAPK6	DKC1
MAPK6	INS
MAPK6	DDOST
MAPK6	DNAJC28
MAPK6	DSCR3
MAPK6	SEPT5
MAPK6	CNTN1
MAPK6	DGKZ
MAPK6	CASP6
MAPK6	DCTN2
MAPK6	LPXN
MAPK6	EIF1
MAPK6	EEF1A2
MAPK6	SEPT3
MAPK6	FAM49B
MAPK6	EIF4A1
MAPK6	CA1
MAPK6	GNB2L1
MAPK6	HNRNPH3
MAPK6	APOA1BP
MAPK6	CERS1
MAPK6	IDH3B
MAPK6	GPX1
TGM2	PAK1
PLK1	CIC
PLK1	LRP5L
PLK1	CCDC115
PLK1	FBXL5
PLK1	EIF6
PLK1	LMO4
PLK1	C9orf114
PLK1	MPP2
PLK1	GLB1
PLK1	BAG6
PLK1	C6orf136
PLK1	CPSF3L
CDK4	APLP1
CDK4	ATP5B
STK3	KHSRP
STK3	DDAH2
STK3	PHAX
STK3	QARS
STK3	MPP1
STK3	GBP2
NAGK	FGFR1OP
NAGK	DYNC1I1
NAGK	LENG1
RPS6KA6	MICAL1
RPS6KA6	DHX34
RPS6KA6	CENPB
RPS6KA6	ADIRF
RPS6KA6	FBN3
RPS6KA6	DNAJC13
RPS6KA6	C14orf1
RPS6KA6	LMO4
RPS6KA6	CEBPZ
RPS6KA6	RPLP1
RPS6KA6	MED24
RPS6KA6	DNMT1
RPS6KA6	CLEC3B
RPS6KA6	MASP1
MAP4K2	HNRNPA2B1
MAP4K2	DEFB1
PLK4	CHD3
PKN2	CCDC136
PKN2	CHGB
PKN2	FAM193B
CSNK1G2	C2orf44
PIK3CB	HPS6
MAPK3	BTBD10
MAPK3	NUPL1
ZAK	MIDN
ZAK	ZNF593
ZAK	RBX1
ZAK	MPP1
ZAK	SMARCB1
ZAK	EZH2
ZAK	IGHM
ZAK	VPS33B
ZAK	UNC119
ZAK	DDAH2
ZAK	ZNF775
ZAK	ZNF746
ZAK	CCDC69
ZAK	RNF19A
ZAK	CRMP1
ZAK	ITSN1
RPS6KA6	FZD5
CHEK2	CHEK2
PRKCB	DDX58
PRKCG	DDX58
CSNK2A1	FCP1
SGK1	RAF1
SRC	SRC
PRKCZ	PRKCZ
RIPK2	RIPK2
PRKCB	TRIM41
PCK1	PSMC4
PCK1	HLA-C
PCK1	YWHAQ
PCK1	ABCB7
PCK1	ACTB
PCK1	ATP2A1
PCK1	BSG
PCK1	BAG6
PCK1	CALM1
PCK1	HSPD1
PCK1	DNAJA1
PCK1	GNAI1
PCK1	HSPA1L
PCK1	MAGED2
PCK1	PSMA2
