protein1	protein2
BCKDK	CETN3
BCKDK	WDTC1
BCKDK	CETN2
PRKAR2B	ZG16B
PRKAR2B	VAPB
MAPK14	SLX4IP
MAPK14	USP47
MAPK14	RICTOR
MAPK14	RHBDF1
MAPK14	RECQL4
MAPK14	PPIL2
MAPK14	PRKY
MAPK14	MYLK3
MAPK14	FOXK1
MAPK14	TPX2
MAPK14	TRMT1L
MAPK14	RNF138
MOS	STK26
MOS	STK25
MOS	PPP2R5E
MOS	PPP2R5A
POMK	XYLT2
POMK	POMGNT1
POMK	POMT1
POMK	TYW1B
POMK	USP30
POMK	ALG5
POMK	TMBIM6
POMK	SLC19A2
POMK	TMPPE
POMK	SLC35F2
POMK	ZDHHC6
POMK	ALG10
POMK	B4GALT1
POMK	TMEM120A
POMK	TMEM120B
POMK	REEP4
POMK	SLC47A1
CSNK2A2	PHRF1
CSNK2A2	BCLAF1
CSNK2A2	LUC7L2
CSNK2A2	ZMYND8
CSNK2A2	GPATCH2L
CSNK2A2	ZNF592
CSNK2A2	NKTR
CSNK2A2	DDX54
CSNK2A2	TSPYL2
CSNK2A2	XPC
CSNK2A2	ZNF106
ETNK2	NPLOC4
ETNK2	RAB11B
MAPKAPK3	PRKY
PRKAR1A	STOML2
PSKH2	UNC119
PSKH2	UNC119B
PSKH2	YTHDF1
PSKH2	RABGGTB
CAMK1D	ZG16B
CAMK1D	QPCTL
CAMK1D	MUC7
CAMK1D	CKS2
CAMK1D	XYLT2
MYLK4	SUPT20H
SCYL1	SEC31A
ATM	RAP2A
ATM	GNA11
RIPK3	ZG16B
RIPK3	PTPRK
FN3KRP	LTF
FN3KRP	LACRT
FN3KRP	PIGR
FN3KRP	IGHA1
MAPK12	MYLK3
STK17B	AFMID
STK32C	FDFT1
STK32C	CDC37
STK32C	MCM5
CAMK1	BLK
IP6K2	GTPBP6
MAPK9	SERPINB5
MAPK9	PKP3
PAK4	PAK6
PAK4	SUPT5H
PDPK1	SERPINA4
STK25	MTPAP
STK25	ARV1
STK25	ZNF598
PDK1	PDK3
SGK1	RAP2A
SGK1	PCCA
ACVR1	ACVRL1
ACVR1	TGFBRAP1
ACVR1	GRAMD1A
ACVR1	MED16
ACVR1	RNF149
ACVR1	ARV1
GUK1	TTC19
CDK14	HSP90AA5P
CDK14	ICK
CDKL1	HSP90AA5P
CDKL1	FKBP5
CDKL1	SUPT5H
CDKL1	TRIP6
PLK1	RAI14
PLK1	TOPBP1
PLK1	KAT8
PLK1	CLU
AURKA	REL
AURKA	SNX9
AURKA	TNRC6C
AURKA	SCYL1
AURKA	CALCOCO1
AURKA	HEATR5B
AURKA	TTC4
AURKA	SH3GL1
AURKA	WDR62
AURKA	SETD2
AURKA	TNKS1BP1
AURKA	PASK
AURKA	NFKB1
AURKA	LIMD1
AURKA	MTMR4
AURKA	MTMR3
AURKA	RPIA
AURKA	SNX18
AURKA	CNOT8
AURKA	CNOT7
AURKA	CNOT2
AURKA	OSBPL3
AURKA	ITPKC
AURKA	PEAK1
AURKA	FBN2
AURKA	TARBP2
AURKA	OSBPL6
AURKA	EPS15
AURKA	USP47
AURKA	GAPVD1
AURKA	SYNRG
AURKB	ENDOG
AURKB	HSP90AA5P
AURKB	HSP90AA4P
AURKB	CDC37
AURKB	RBM12B
AURKB	TTK
CDK8	MED25
CDK8	PPP1R12A
CDK8	MED12L
CDK8	HSP90AA5P
CDKL2	HSP90AA1
CDKL2	HSP90AA5P
CDKL2	HSP90AA4P
CDKL2	CDC37
CDKL4	HSP90AA1
CDKL4	HSP90AB4P
CDKL4	HSP90AB3P
CDKL4	HSP90AA5P
CDKL4	POTEI
CDKL4	FKBP5
CDKL4	DNMT1
CDKL4	MYO18A
CDKL5	SERPINB8
CDKL5	DHX16
CDKL5	MACF1
CDKL5	GPALPP1
CDKL5	KLHL20
CDKL5	RABL6
CDKL5	UBAP2
CDKL5	DHX38
AURKC	HSP90AA1
AURKC	HSP90AB1
AURKC	HSP90AB3P
AURKC	HSP90AA5P
AURKC	HSP90AA4P
AURKC	FKBP5
AURKC	MYH1
AURKC	MYH8
AURKC	MYH4
AURKC	USP19
AURKC	TUBB8
AURKC	INCENP
AURKC	C12orf43
AURKC	DHX38
PLK2	RNASE7
PLK2	POF1B
PLK2	SUGP1
PLK2	TAF8
PLK2	EEF1A2
PLK2	RABL6
PLK2	SERPINA12
PLK2	CSTF1
PLK2	SDR9C7
PLK2	SERPINA1
PLK2	SERPINB7
BUB1	CDC20
BUB1	RABL6
CDK1	CDK3
CDK1	CDT1
CDK1	SKP2
CDK1	ICK
CDK1	CDKN1C
CDK1	GMNN
CDK10	PLS1
CDK10	RNASEH2A
CDK11A	WDR47
CDK11A	CDK11B
CDK11A	C12orf43
CDK11A	SPRR3
CDK11A	CRNN
CDK15	HSP90AA1
CDK15	HSP90AB1
CDK15	HSP90AB4P
CDK15	HSP90AB3P
CDK15	HSP90AA5P
CDK15	CCT6B
CDK15	CCT2
CDK15	CCT4
CDK16	CDK18
CDK16	PPP2R2D
CDK16	ICK
CDK16	SNX27
CDK17	PPP2R3A
CDK17	TDRD7
CDK17	SUGP1
CDK17	DHPS
CDK17	PPP2R5E
CDK17	FEM1A
CDK18	HSP90AA1
CDK18	HSP90AB1
CDK18	HSP90AA5P
CDK18	MTA2
CDK18	FKBP5
CDK18	CDC37
CDK18	DNLZ
CDK19	MED12L
CDK19	MED10
CDK4	HSP90AB4P
CDK4	HSP90AB3P
CDK4	HSP90AA5P
CDK4	OGFR
CDK4	FKBP5
CDK4	EIF1AX
CDK4	GUSB
CDK4	OGFRL1
CDK4	JAK3
CDK4	GFER
CDK6	HSP90AA5P
CDK6	UBE2W
CDK6	RCHY1
CDK6	CDKN1C
CDK7	HSP90AA1
CDK7	HSP90AB4P
CDK7	HSP90AB3P
CDK7	HSP90AA5P
CDK7	HSP90AA4P
CDK7	FKBP5
CDK7	EEF1A2
CDK7	TBC1D32
CDK7	DHX38
CDK7	PI4KB
CDK7	TCEA1
CDK7	MPLKIP
CDK13	TUBB
CDK13	TUBB4B
CDK13	TUBB8
CDK13	HSP90AA1
CDK13	HSP90AB1
CDK13	HSP90AB4P
CDK13	HSP90AB3P
CDK13	HSP90AA5P
CDK13	HSP90AA4P
CDK13	FKBP5
CDK13	KEAP1
CDK13	PLS1
CDK13	SPSB3
CDK13	DSTYK
CDK13	RB1
CDK13	FBXO11
CDK13	TUBA4A
CDK13	TUBA1A
CDK13	TUBA1C
CDK13	EDRF1
CDK13	NEK3
CDK13	FBXO44
CDK13	PALD1
CDK13	TTC9C
CDK3	HSP90AA1
CDK3	HSP90AB1
CDK3	HSP90AB4P
CDK3	HSP90AA5P
CDK3	HSPA1L
CDK3	CDT1
CDK3	FKBP5
CDK3	GMNN
CDK3	HSPA4
CDK3	CDKN1C
CDK3	CKS2
CDK9	HSP90AB4P
CDK9	HSP90AB3P
CDK9	HSP90AA5P
CDK9	HSP90AA4P
CDK9	HINT1
CDK9	FGR
CDKL3	STAMBP
KALRN	SNCAIP
PAN3	TNRC6C
TBK1	IFIT3
IKBKE	IFIT3
SRC	TP53
PLK4	MIB1
TRRAP	USP7
PRKG1	WDR77
PRKG1	AR
LATS1	NF2
LATS1	AJUBA
LATS1	WTIP
LATS2	WTIP
CDK2	GATA3
MAPK14	GATA3
RIPK3	DAXX
SIK2	PPP2R1A
CAMK1	PPME1
STK4	VAPA
STK4	XPO6
PLK1	KIF2C
RPS6KB2	ACTA1
RPS6KB2	ACTG1
RPS6KB2	ANKMY2
RPS6KB2	CAD
RPS6KB2	CCT4
RPS6KB2	CDC37
RPS6KB2	DHX9
RPS6KB2	EEF1A1
RPS6KB2	EEF1G
RPS6KB2	EIF2S2
RPS6KB2	EIF3B
RPS6KB2	FKBP8
RPS6KB2	HNRNPA1
RPS6KB2	HNRNPA2B1
RPS6KB2	HNRNPM
RPS6KB2	HSP90AA1
RPS6KB2	HSP90AB1
RPS6KB2	HSPA1A
RPS6KB2	HSPA5
RPS6KB2	HSPA8
RPS6KB2	HSPA9
RPS6KB2	PDCD4
RPS6KB2	POLDIP3
RPS6KB2	PPP2CA
RPS6KB2	PPP2R1A
RPS6KB2	PPP2R2A
RPS6KB2	PSMC1
RPS6KB2	PSMD3
RPS6KB2	RBBP7
RPS6KB2	RPL8
RPS6KB2	RPS18
RPS6KB2	RPS19
RPS6KB2	RUVBL1
RPS6KB2	SLC25A5
RPS6KB2	SUGT1
RPS6KB2	USP7
RPS6KB2	YWHAH
RPS6KB2	YWHAQ
NEK2	PPP1CC
AKT1	SLC9A3R1
CSNK2A1	OTUB1
ACVR1	OTUB1
BMPR1A	OTUB1
ACVR1B	OTUB1
TGFBR1	OTUB1
BMPR1B	OTUB1
CDK2	LATS1
TNK2	KDM3A
CSNK2A1	COPS5
CSNK2A1	COPS4
BUB1B	UBR5
PRKCA	WWC2
PRKCA	WWC3
PRKCA	WWC1
CHEK2	SIRT1
CHEK2	CCAR2
TYK2	SIAH2
TYK2	UBE2L6
GSK3A	RICTOR
MTOR	MLXIP
MTOR	MLXIPL
BUB1B	FZR1
PLK1	REST
GSK3B	SP7
TGFBR2	SPSB1
BUB1	MAD2L1
BUB1B	CCNA2
MAPKAPK2	TRIM28
SRC	MDM2
NTRK1	SOS2
NTRK1	PIK3R2
NTRK1	SOS1
NTRK1	SHC3
NTRK1	UBC
NTRK1	GAB1
NTRK1	LGR5
NTRK1	VAV2
NTRK1	PTPN11
NTRK1	EPS15
NTRK1	HUWE1
NTRK1	MIB1
NTRK1	TXN
NTRK1	CAT
NTRK1	JUP
NTRK1	CFL1
NTRK1	DSP
NTRK1	ENO2
NTRK1	XRCC6
NTRK1	GSTP1
NTRK1	HDGF
NTRK1	HSPA4L
NTRK1	RHOBTB3
NTRK1	NOTCH3
NTRK1	RBM15B
NTRK1	KCNH2
NTRK1	RNF31
NTRK1	VGF
NTRK1	ARHGEF11
NTRK1	UNC5B
NTRK1	SMARCA4
NTRK1	DAB2IP
NTRK1	PLEKHA6
NTRK1	INPPL1
NTRK1	DPM1
NTRK1	FIP1L1
NTRK1	SLC12A2
NTRK1	TAF6L
NTRK1	KHDRBS1
NTRK1	SPTLC2
NTRK1	CNP
NTRK1	FMR1
NTRK1	VANGL2
NTRK1	UNC5C
NTRK1	CTNND1
NTRK1	RASA1
NTRK1	CAPN2
NTRK1	AP2A1
NTRK1	QKI
NTRK1	ARHGEF2
NTRK1	ITGAV
NTRK1	VIM
NTRK1	TOP1
NTRK1	RBM15
NTRK1	PLXNB2
NTRK1	PROX1
NTRK1	PICALM
NTRK1	RHOT1
NTRK1	ALDH1B1
NTRK1	USP9X
NTRK1	HNRNPF
NTRK1	DVL3
NTRK1	GTPBP4
NTRK1	PLXNA4
NTRK1	MYO6
NTRK1	PTPN12
NTRK1	CCDC88A
NTRK1	IFT122
NTRK1	ARHGEF12
NTRK1	AP2A2
NTRK1	SRSF6
NTRK1	AGO2
NTRK1	HDAC6
NTRK1	ABCB1
NTRK1	YBX1
NTRK1	PTPN9
NTRK1	BRD3
NTRK1	TRIM24
NTRK1	MADD
NTRK1	TCF4
NTRK1	TSC2
NTRK1	PTPRR
NTRK1	ATP7A
NTRK1	PTPRF
NTRK1	RPS6
NTRK1	CDC73
NTRK1	ELAVL3
NTRK1	SH3PXD2A
NTRK1	DBN1
NTRK1	BSG
PDXK	ABAT
AK2	ACAA2
PKN2	ACBD3
AK2	AFG3L2
GCK	AGL
KHK	AGL
PKM	AGL
NME2	AHCY
NME2	AKR1A1
PGK1	AKR1A1
PGK2	AKR1A1
PKM	AKR1A1
NME2	AKR1B1
PGK1	AKR1B1
PGK2	AKR1B1
PGK1	AKR1B10
CSK	AKT2
PFKP	ALDH16A1
PKM	ALDH5A1
PGK1	ALDOC
PGK2	ALDOC
PKM	AMDHD2
PRKAB1	AP1G1
DGKI	AP2M1
CDK11A	AP3B1
PFKL	APEH
PFKM	APEH
CDK2	ARF6
PFKM	ARFIP1
PFKP	ARFIP1
PFKP	ARHGAP1
SLK	ARHGEF1
PGK1	ARPC3
TP53RK	ARPP19
PKM	ASS1
MAPK1	ATP6V1D
PKM	BAX
UCKL1	BCS1L
CSNK2A1	BRWD3
TRRAP	BTAF1
PFKP	CCDC22
MAP4K4	CDK12
TRIO	CFAP45
MAPK1	CHEK1
MAPK1	CHEK2
MAPK3	CHEK2
CSK	CLIC4
PI4K2A	CLTB
HK2	CNBP
PHKB	CORO1B
PHKB	CORO1C
PGK1	CSE1L
PFKM	CTH
CDK11A	CTR9
PKM	DAZAP1
CAMK2G	DDX11
PLK1	DDX17
ILK	DHX15
KALRN	DICER1
BRD4	DMAP1
MAPK1	DNAAF5
PKM	DNAJA3
PFKP	DNAJC9
CDK11A	DPF2
AK2	DUT
PFKM	EEF1A1
PFKP	EEF1A1
PGK1	EEF1A1
PKM	EEF1D
AURKA	EEF2
CSNK2A1	EIF3H
CSK	EIF4E
AKT2	EIF4EBP1
AKT3	EIF4EBP1
NME2	ENO1
PGK1	ENO1
PGK2	ENO1
NME2	ENO2
PGK1	ENO2
NME2	ENO3
PGK1	ENO3
PGK2	ENO3
AURKA	EZR
PRPS1	FARSA
PIK3C2B	FASN
PKM	FH
NME2	FKBP1A
NME2	FKBP1B
AK2	FSCN1
AURKA	FUS
MAPK3	GALE
GALK1	GALM
PAK2	GDI1
AKT2	GGA1
GCK	GMIP
PKM	GNG12
NME2	GOT1
ROS1	GRB2
GTF2F1	GTF2F2
MAPK11	HDAC1
MAPK14	HDAC1
GTF2F1	HIRIP3
AURKA	HNRNPD
PKM	HNRNPD
CDK7	HNRNPF
PKM	HNRNPK
MAPK1	HNRNPR
AK3	HNRNPUL2
AK9	HSP90B1
PKM	HSPB1
MAP2K7	HSPE1
PCK2	HSPE1
CSK	ILKAP
FGFR3	ILKAP
GSK3B	ILKAP
MAP2K7	ILKAP
MAPK1	ILKAP
MAPK3	ILKAP
RPS6KA1	ILKAP
EPHB2	KDM4A
PRKCI	KIF23
STK10	KIFC1
MAP2K4	KTI12
CDK11A	LEO1
PKN2	LSM2
PKN2	LSM3
PKN2	LSM4
PKN2	LSM6
PKN2	LSM7
GALK2	LTA4H
PKM	LYPLA2
PFKM	MCFD2
PFKP	MCFD2
PFKP	MCMBP
PKM	ME1
GALK2	MEMO1
MAPK3	METTL2B
STK38	MPP1
BTK	MPP7
AK2	MRPS7
MAPK3	MTMR12
GALK2	MVD
PAK2	MYO6
PAK4	NAA20
ABL1	NAA25
PAK4	NAA25
SRPK1	NAT10
CMPK1	NIT2
MAPK3	NMD3
PFKP	NMD3
PRPS1	NMD3
ADK	NNMT
CSNK1D	NOB1
CSNK1E	NOB1
CDK11A	NOLC1
CDK2	NOP2
MAP4K4	NOP2
SRPK1	NOP2
ATR	NOSIP
KHK	NPEPL1
PFKP	NPEPL1
ADK	NQO1
SLK	NSFL1C
STK3	NSUN5
ITK	NSUN6
PDXK	OGT
MAPK3	PAK2
ABL1	PAK4
ADK	PCBP1
SCYL2	PCBP2
SCYL2	PCMT1
CSK	PDCD6
PAK2	PDIA3
CAMK2G	PDLIM5
CDK11A	PELP1
AURKA	PFKM
MAPK1	PFKM
PKM	PFKM
RBKS	PHPT1
ILK	PICALM
PFKM	PICALM
EGFR	PIGS
CSNK2A1	PIP4K2A
CSNK2B	PIP4K2A
CSNK2B	PIP4K2C
ADK	PITPNB
PFKL	PKM
PFKP	PLCG1
PCK2	PPIA
MAPK9	PPM1A
PKN1	PPM1A
PRKCI	PPM1A
ABL1	PPM1B
CDK13	PPM1B
CSNK1D	PPM1B
CSNK1E	PPM1B
GAK	PPM1B
MAPK8	PPM1B
PAK4	PPM1B
PKN2	PPM1B
PRKCI	PPM1B
TRIO	PPM1F
MAPK11	PPM1G
MAPK14	PPM1G
PKN1	PPM1G
PTK7	PPM1G
SRPK1	PPM1G
SRPK2	PPM1G
SLK	PPP1R2
CDK1	PRDX2
NME2	PRDX5
SRPK2	PRPF8
TP53RK	PRPS1
PFKM	PRRC1
PGK1	PSMB2
CSK	PSMD9
PFKL	PSMG1
PFKM	PSMG1
PFKP	PSMG1
PRKCD	PTGES3
PFKP	PTPN6
MAPK1	PTPRF
MAP3K15	RAB10
PKM	RAB10
PDXK	RABIF
PKM	RAC1
ROCK2	RACGAP1
VRK1	RACGAP1
ADK	RBM12
CSNK2A1	RBM34
SLK	RBM8A
AKT1	RPE
AKT2	RPE
AKT3	RPE
CDK2	RPE
CDK5	RPE
PKN2	RPE
PRKACA	RPE
PRKACB	RPE
RBKS	RPE
TRIO	RPE
XYLB	RPE
PKM	RPN1
AK3	RPS14
MAPK1	RRM2
PLK1	RRM2
BRD4	RTF1
PFKP	SAMD9
CDK11A	SAP30BP
CAMK2G	SBDS
PRPS1	SBDS
PRPS2	SBDS
XYLB	SCRN2
PGK1	SF1
PGK1	SFN
SLK	SFN
PGK1	SFPQ
AK2	SIGMAR1
CSNK2A2	SIN3A
AURKA	SMC2
PLK1	SMC3
PFKP	SNW1
GTF2F1	SRRM1
JMJD6	SSRP1
TRIO	SSU72
PAK2	STAT1
KHK	SULT1C4
PFKM	SUMO3
CDK11A	SUPT16H
CSNK2A1	SUPT4H1
CSNK2A2	SUPT5H
NME2	TAGLN
NME2	TAGLN2
PGK1	TAGLN2
PGK1	TAGLN3
XYLB	TALDO1
CMPK1	TATDN1
OXSR1	THUMPD1
AK2	TKT
PDXK	TPI1
AK2	TRAP1
PKM	TRAP1
PTK2	TRMT6
MTOR	TRMT61A
STK26	TTC4
PKM	TUBA4A
PKM	TUBB
PFKP	TXLNA
MAP2K2	TXN
AURKA	UBA1
PCK2	UBE2L3
NME2	UBE2V1
PKM	UFM1
GCK	UGP2
MAP2K4	VASP
CSNK2B	WDR12
TP53RK	WDR4
MAPK1	XPO6
PFKM	XPO6
PFKM	YOD1
SLK	YWHAB
PGK1	YWHAE
PGK1	YWHAQ
SLK	YWHAZ
BRD4	ZC3H18
PRKACA	USP20
ATR	PPP2R3A
PRKDC	RASSF1
ATR	RASSF1
ATM	RASSF1
ATR	AP3B1
ATM	AP3B1
LRRK2	SRPK1
NTRK1	RHOT2
NTRK1	PUM1
NTRK1	SBF2
NTRK1	ARID4B
NTRK1	WASF2
NTRK1	POLE
NTRK1	GNA13
NTRK1	ELAVL4
NTRK1	PPP1R12A
NTRK1	SRSF5
NTRK1	DVL2
NTRK1	GNAI3
NTRK1	SORT1
NTRK1	SNX27
NTRK1	SRSF1
NTRK1	PPP6C
NTRK1	RPN1
NTRK1	PAF1
NTRK1	TBL1XR1
NTRK1	DNAJC10
NTRK1	DOCK1
NTRK1	TLE3
NTRK1	MYO5A
NTRK1	SNX9
NTRK1	NAP1L4
NTRK1	LLGL1
NTRK1	MLH1
NTRK1	RPTOR
NTRK1	EWSR1
NTRK1	TFRC
NTRK1	FHOD1
NTRK1	LMNA
NTRK1	HCFC1
NTRK1	KDM1A
NTRK1	SPTBN1
NTRK1	PHOX2A
NTRK1	HNRNPA1
NTRK1	ANKRD28
NTRK1	NAP1L1
NTRK1	HSPA9
NTRK1	FKBP5
NTRK1	TAF6
NTRK1	SDHA
NTRK1	WASF1
NTRK1	LIMA1
NTRK1	HNRNPA2B1
NTRK1	MYH9
NTRK1	NES
NTRK1	PPM1F
NTRK1	STAT3
NTRK1	STAT5B
NTRK1	SACM1L
NTRK1	CHD4
NTRK1	KIF2A
NTRK1	TACC3
NTRK1	NCL
NTRK1	HNRNPDL
NTRK1	MON2
NTRK1	DNMT1
NTRK1	CUL5
NTRK1	TANC1
NTRK1	STAT1
NTRK1	AIFM1
NTRK1	OCRL
NTRK1	ABCC1
NTRK1	USP8
NTRK1	GYS1
NTRK1	ANKFY1
NTRK1	HDAC2
NTRK1	ABI2
NTRK1	PPM1E
NTRK1	IDH2
NTRK1	MFN2
NTRK1	MSH6
NTRK1	HNRNPC
NTRK1	APPL1
NTRK1	PUM2
NTRK1	RELA
NTRK1	RANBP9
NTRK1	ATG7
NTRK1	TRIM33
NTRK1	WASL
NTRK1	PPP1CB
NTRK1	RB1
NTRK1	CLTA
NTRK1	NCSTN
NTRK1	EIF4E
NTRK1	ANKRD17
NTRK1	KIF2C
NTRK1	GIGYF2
NTRK1	MSH2
NTRK1	IRF2BP2
NTRK1	ATXN2L
NTRK1	MAP4
NTRK1	ARHGEF1
NTRK1	ISLR2
NTRK1	DDX1
NTRK1	FLII
NTRK1	HSPA8
NTRK1	PSMC6
NTRK1	PIKFYVE
NTRK1	AP2B1
NTRK1	HNRNPH1
NTRK1	EHD1
NTRK1	KIF5B
NTRK1	VPS11
NTRK1	STRN
NTRK1	CTNNB1
NTRK1	STAM
NTRK1	VCL
NTRK1	HSPA6
NTRK1	MAPK8IP3
NTRK1	TJP1
NTRK1	FUS
NTRK1	XPO1
NTRK1	DCTN1
NTRK1	PARP1
NTRK1	CUL1
NTRK1	PPP2R5D
NTRK1	NSF
NTRK1	ARVCF
NTRK1	SYT1
NTRK1	TIA1
NTRK1	DICER1
NTRK1	KIF3A
NTRK1	CLIC4
NTRK1	PHGDH
NTRK1	GNAS
NTRK1	CCDC6
NTRK1	TFG
NTRK1	GPHN
NTRK1	PDCD4
NTRK1	VPS35
NTRK1	ASNS
NTRK1	IDH1
NTRK1	KIF3B
NTRK1	ACTR2
NTRK1	PITPNB
NTRK1	KLC1
NTRK1	USP7
NTRK1	SV2A
NTRK1	PSMC2
NTRK1	TRAP1
NTRK1	TCP1
NTRK1	CALD1
NTRK1	NPM1
NTRK1	POLA1
NTRK1	PPP2CA
NTRK1	PPP1CA
NTRK1	VPS51
NTRK1	TUBB3
NTRK1	HSPA5
NTRK1	CTTN
NTRK1	CBS
NTRK1	THADA
NTRK1	YWHAQ
NTRK1	PPM1G
NTRK1	CPNE3
NTRK1	HGS
NTRK1	DYNC1H1
NTRK1	CANX
NTRK1	YWHAH
NTRK1	YWHAG
NTRK1	CUL3
NTRK1	EIF5B
NTRK1	KIF5C
NTRK1	LDHA
NTRK1	MAP2
NTRK1	DBH
NTRK1	VCP
NTRK1	HSPH1
NTRK1	KIF1A
NTRK1	EML4
NTRK1	CLPB
NTRK1	ANXA2
NTRK1	ACTA1
NTRK1	DCTN4
NTRK1	CUL2
NTRK1	UGP2
NTRK1	HSP90B1
NTRK1	DNAJB1
NTRK1	ENAH
NTRK1	RALA
NTRK1	EIF3A
NTRK1	GAPDH
NTRK1	U2AF1
NTRK1	GDAP1
NTRK1	CDH2
NTRK1	HSPD1
NTRK1	DPYSL2
NTRK1	RTN4
NTRK1	FLNA
NTRK1	STAG2
NTRK1	MAP1A
NTRK1	YWHAZ
NTRK1	SRSF2
NTRK1	ATP1A3
NTRK1	RRM2
NTRK1	NCAM1
NTRK1	YWHAB
NTRK1	CCT3
NTRK1	SFN
NTRK1	RAB11A
NTRK1	GNAO1
NTRK1	ITGB1
NTRK1	SEZ6L2
NTRK1	CCT4
NTRK1	P4HB
NTRK1	CCT5
NTRK1	YWHAE
NTRK1	IDE
NTRK1	UBQLN1
NTRK1	CALR
NTRK1	HMGB1
NTRK1	EEF2
NTRK1	CCT6A
NTRK1	ANXA5
NTRK1	CCT7
NTRK1	CLIC1
NTRK1	CCT2
NTRK1	USP14
NTRK1	ANK2
NTRK1	TPR
NTRK1	NRCAM
NTRK1	EEF1G
NTRK1	TPM3
NTRK1	CAP1
NTRK1	HSPB1
NTRK1	ST13
NTRK1	HSPA1A
NTRK1	ESD
NTRK1	GOT2
NTRK1	UCHL1
NTRK1	L1CAM
NTRK1	MAP1B
NTRK1	UBQLN2
NTRK1	ARHGDIA
NTRK1	ALCAM
NTRK1	INA
NTRK1	HYOU1
NTRK1	CHGA
NTRK1	EZR
NTRK1	ARG1
NTRK1	PPA1
NTRK1	AKR1B1
CSNK2A1	UBE2D3
CSNK2A1	RNF2
MAPK14	CDT1
PRKCA	NOXA1
MAP2K4	FLNB
DYRK2	DCAF5
STK4	DAXX
SRC	RASGRF1
MAPK1	PAX5
ATR	TERT
PRKCA	STXBP1
MAPK1	ELK4
CSF1R	PIK3R2
ABL2	PIK3R3
CSK	PDPK1
FER	KCTD4
HCK	NGEF
HCK	PIK3R3
JAK3	LNX1
BTK	MRPS22
FER	PIK3R1
FER	PIK3R3
FER	PPP1R7
HCK	LETMD1
HCK	OLIG1
HCK	PTK2
PRKCA	SPAG1
PRKCA	NFE2L2
PRKCA	CACYBP
NEK9	CSN2
NEK9	NEK8
MAP3K14	SLC9A1
ACVR2A	DAXX
PIK3C3	USP18
MAP3K7	NDFIP1
PIM1	PPP2R5B
PINK1	HSD17B10
PINK1	DNM1L
MAPK3	FBXW7
DAPK1	UNC5A
DAPK1	UNC5C
CDKN2A	ZBTB17
AKT1	CASC3
AKT1	EPSTI1
AKT1	IL13RA2
AKT1	IL24
AKT1	MRC2
AKT1	MTA3
AKT1	OSGIN1
AKT1	RASL10B
AKT1	S100A14
AKT1	SERPINB5
AKT1	ST14
AKT1	TFF1
AKT1	THRSP
ATM	BCAS3
ATM	ERRFI1
ATM	IL24
ATM	MTA3
ATM	NAT2
ATM	OSGIN1
ATM	TFF1
AURKA	BEX2
AURKA	BLID
AURKA	CDH13
AURKA	DKK3
AURKA	EPSTI1
AURKA	ERRFI1
AURKA	KLK5
AURKA	LYPD3
AURKA	MTA3
AURKA	NAT2
AURKA	PDLIM2
AURKA	PSMC3IP
AURKA	S100A14
AURKA	SCGB3A1
AURKA	THRSP
AURKA	WIF1
CDKN2A	NAT2
CDKN2C	GREB1
CDKN2C	MTA3
CDKN2C	NAT2
CDKN2C	SCGB2A2
CDKN2C	ST14
CHEK2	CYP17A1
CHEK2	DIRAS3
CHEK2	HOXC6
CHEK2	IL24
CHEK2	ITIH5
CHEK2	KLK7
CHEK2	KLK9
CHEK2	LYPD3
CHEK2	PRDM14
CHEK2	PSMC3IP
CHEK2	RHOBTB2
CHEK2	RNF20
CHEK2	ST14
ERBB2	ERRFI1
ERBB2	GLCE
ERBB2	IL13RA2
ERBB2	KLK5
ERBB2	LYPD3
ERBB2	NAT2
ERBB2	PRDM14
ERBB2	PSMC3IP
ERBB2	RHOBTB2
ERBB2	THRSP
FGFR2	GLCE
FGFR2	HOXC6
FGFR2	MTA3
FGFR2	PDLIM2
FGFR2	RASL10B
FGFR2	RHOBTB2
FGFR2	S100A14
FGFR2	TFF1
FGFR4	GLCE
FGFR4	MTA3
FGFR4	OSGIN1
FGFR4	PDLIM2
FGFR4	PSMC3IP
FGFR4	RASL10B
FGFR4	RNF20
FGFR4	SCGB3A1
FGFR4	THRSP
FGFR4	WIF1
IGF1R	IL13RA2
IGF1R	KLK5
IGF1R	LYPD3
IGF1R	MTA3
IGF1R	NAT2
IGF1R	THRSP
IGF1R	TRIM25
IGF1R	VPS45
PIK3CA	PSMC3IP
PIK3CA	THRSP
STK11	THRSP
STK11	TRIM25
AKT1	GET4
AKT1	CCNI
AKT1	CLASP2
AKT1	FASN
AKT1	GFAP
AKT1	GRIN2A
AKT1	PDHB
AKT1	PICK1
AKT1	PLP1
AKT1	PSMC5
AKT1	PTGDS
AKT1	PTPN3
AKT1	SNCB
AKT1	SRR
AKT1	SULT4A1
AKT1	ZNF691
ATM	NREP
ATM	FECH
ATM	HSPA8
ATM	MAP1S
ATM	NR4A1
ATM	ZNF821
CHEK2	ENO1
CHEK2	GNAS
CHEK2	HMGN1
CHEK2	SLC25A6
CHEK2	PRMT2
CHEK2	STMN1
CHEK2	TLR3
ERBB2	GMPR2
ERBB2	HDLBP
ERBB2	IARS
ERBB2	MUCL1
ERBB2	PHF23
ERBB2	POLD2
ERBB2	PSAP
ERBB2	STK24
ERBB2	TCEAL2
ERBB2	TTC9B
ERBB2	UTP18
PIK3CA	TNFSF13
PIK3CA	UMPS
STK11	STK24
STK11	THOP1
