protein1	protein2
ATM	POU6F2
ATM	PPBP
ATM	PPP1R2
ATM	PRG4
ATM	PRSS3
ATM	QTRT2
ATM	RANBP3
ATM	RLF
ATM	RYR2
ATM	SACS
ATM	SCAF1
ATM	SCN2B
ATM	SCN5A
ATM	SEC61B
ATM	SEMA6C
ATM	SERPING1
ATM	SGO2
ATM	SH3BP5
ATM	SLA2
ATM	SLC1A5
ATM	SLC25A13
ATM	SLC9A8
ATM	SMAD1
ATM	SORBS3
ATM	SPAST
ATM	SPATA31A7
ATM	ST13
ATM	TAOK1
ATM	TFDP2
ATM	TIAM1
ATM	TLN2
ATM	TMEM115
ATM	TRAPPC11
ATM	TREX1
ATM	TSC22D1
ATM	TTPAL
ATM	UNC93B1
ATM	ZBTB2
ATM	ZNF232
ATR	AKAP12
ATR	APBB1
ATR	BORA
ATR	CCDC82
ATR	CGGBP1
ATR	CNOT2
ATR	CUX1
ATR	DCK
ATR	EGFR
ATR	EWSR1
ATR	FANCB
ATR	FARSA
ATR	FLT1
ATR	GPS1
ATR	GYPA
ATR	H2BFS
ATR	HIST1H2BA
ATR	HIST1H2BB
ATR	HIST1H2BC
ATR	HIST1H2BD
ATR	HIST1H2BE
ATR	HIST1H2BF
ATR	HIST1H2BG
ATR	HIST1H2BH
ATR	HIST1H2BI
ATR	HIST1H2BJ
ATR	HIST1H2BK
ATR	HIST1H2BL
ATR	HIST1H2BM
ATR	HIST1H2BN
ATR	HIST1H2BO
ATR	HIST1H4A
ATR	HIST1H4B
ATR	HIST1H4C
ATR	HIST1H4D
ATR	HIST1H4E
ATR	HIST1H4F
ATR	HIST1H4H
ATR	HIST1H4I
ATR	HIST1H4J
ATR	HIST1H4K
ATR	HIST1H4L
ATR	HIST2H2BE
ATR	HIST2H4A
ATR	HIST2H4B
ATR	HIST3H2BB
ATR	HIST3H3
ATR	HIST4H4
ATR	KDR
ATR	MARCKSL1
ATR	NCOA2
ATR	NCR3LG1
ATR	NT5E
ATR	PDGFRB
ATR	PML
ATR	POLR2A
ATR	PVR
ATR	SIAH1
ATR	SMARCC2
ATR	SP1
ATR	SUGP2
ATR	SUN2
ATR	TREX1
ATR	UBE2T
ATR	VSIG1
ATR	ZSCAN5A
AURKA	C16orf71
AURKA	CORO2B
AURKA	CRMP1
AURKA	ESS2
AURKA	FAF1
AURKA	FAM131B
AURKA	FAT3
AURKA	FEZ1
AURKA	FRS3
AURKA	HIST1H3B
AURKA	HIST1H3C
AURKA	HIST1H3D
AURKA	HIST1H3E
AURKA	HIST1H3F
AURKA	HIST1H3G
AURKA	HIST1H3H
AURKA	HIST1H3I
AURKA	HIST1H3J
AURKA	HSPA1B
AURKA	HSPA7
AURKA	KCTD12
AURKA	KHDRBS2
AURKA	LBHD1
AURKA	MCRS1
AURKA	MTMR7
AURKA	MYBBP1A
AURKA	MYC
AURKA	NAPA
AURKA	NAPG
AURKA	PAX5
AURKA	PLA2G10
AURKA	PTPN5
AURKA	RIOK1
AURKA	RPN1
AURKA	RPSA
AURKA	RRBP1
AURKA	RSPRY1
AURKA	RUNX3
AURKA	SDC4
AURKA	SEC13
AURKA	SEC23A
AURKA	SEC23B
AURKA	SEC24C
AURKA	SEH1L
AURKA	SEMA7A
AURKA	SERPINH1
AURKA	SF1
AURKA	SFPQ
AURKA	SGF29
AURKA	SGTA
AURKA	SH3KBP1
AURKA	SHKBP1
AURKA	SIPA1L3
AURKA	SKI
AURKA	SMN1
AURKA	SMN2
AURKA	SMTN
AURKA	SORBS1
AURKA	SORBS2
AURKA	SPINT1
AURKA	SPTAN1
AURKA	SPTBN1
AURKA	SRRM2
AURKA	SRRT
AURKA	SSR1
AURKA	STOML2
AURKA	STON2
AURKA	TIFA
AURKA	TRMO
AURKB	ARHGAP21
AURKB	ARHGAP23
AURKB	ATM
AURKB	ATXN10
AURKB	CALM2
AURKB	CALM3
AURKB	CAVIN1
AURKB	CCDC86
AURKB	CLIC3
AURKB	COBLL1
AURKB	CORO2B
AURKB	CUL7
AURKB	DDA1
AURKB	DDX3X
AURKB	DDX3Y
AURKB	DDX52
AURKB	DEK
AURKB	FRS3
AURKB	H3F3A
AURKB	H3F3B
AURKB	HIST1H2BB
AURKB	HIST1H2BC
AURKB	HIST1H2BD
AURKB	HIST1H2BE
AURKB	HIST1H2BF
AURKB	HIST1H2BG
AURKB	HIST1H2BH
AURKB	HIST1H2BI
AURKB	HIST1H2BJ
AURKB	HIST1H2BK
AURKB	HIST1H2BM
AURKB	HIST1H2BN
AURKB	HIST1H2BO
AURKB	HIST1H3B
AURKB	HIST1H3C
AURKB	HIST1H3D
AURKB	HIST1H3E
AURKB	HIST1H3F
AURKB	HIST1H3G
AURKB	HIST1H3H
AURKB	HIST1H3I
AURKB	HIST1H3J
AURKB	HIST2H2AA4
AURKB	HIST2H2BC
AURKB	HIST2H2BD
AURKB	HIST2H2BF
AURKB	HIST2H3A
AURKB	HIST2H3D
AURKB	HMGN5
AURKB	KLHL13
AURKB	LMO7
AURKB	LRRK2
AURKB	MAPK6
AURKB	MISP
AURKB	MPHOSPH10
AURKB	NAGK
AURKB	NCOR2
AURKB	NELFE
AURKB	PBX1
AURKB	PHKA1
AURKB	PKNOX1
AURKB	PLK1
AURKB	PPHLN1
AURKB	RBM3
AURKB	RBMXL1
AURKB	RUNX3
AURKB	SH2D4A
AURKB	SPAST
AURKB	SSU72
AURKB	TBL3
AURKB	TGFBR1
AURKB	UTP3
AURKB	VMA21
AURKB	VRK1
AURKC	H3F3A
AURKC	H3F3B
AURKC	HIST1H3B
AURKC	HIST1H3C
AURKC	HIST1H3D
AURKC	HIST1H3E
AURKC	HIST1H3F
AURKC	HIST1H3G
AURKC	HIST1H3H
AURKC	HIST1H3I
AURKC	HIST1H3J
AURKC	LRRK2
AURKC	NEDD4L
AURKC	NEDD4
AURKC	NFKBIA
AURKC	PHKA1
AXL	AKT2
AXL	AKT3
AXL	BAG4
AXL	BCR
AXL	BLNK
AXL	BRK1
AXL	CD247
AXL	CD28
AXL	CD3G
AXL	CD79A
AXL	CD79B
AXL	CNTRL
AXL	CPSF6
AXL	CSK
AXL	CYFIP1
AXL	CYFIP2
AXL	DAPP1
AXL	EGFR
AXL	ELAVL1
AXL	ERLIN2
AXL	FCGR3A
AXL	FGF10
AXL	FGF16
AXL	FGF17
AXL	FGF18
AXL	FGF19
AXL	FGF1
AXL	FGF20
AXL	FGF22
AXL	FGF23
AXL	FGF3
AXL	FGF4
AXL	FGF5
AXL	FGF6
AXL	FGF7
AXL	FGF8
AXL	FGF9
AXL	FGFR1OP2
AXL	FGFR1OP
AXL	FGFR4
AXL	GAB2
AXL	GNB1
AXL	GNB2
AXL	GNB3
AXL	GNB4
AXL	GNB5
AXL	GNG10
AXL	GNG11
AXL	GNG13
AXL	GNG2
AXL	GNG3
AXL	GNG4
AXL	GNG5
AXL	GNG7
AXL	GNG8
AXL	GNGT1
AXL	GNGT2
AXL	H2BFS
AXL	HCK
AXL	HSPA7
AXL	IGHD
AXL	IGHG1
AXL	IGHG2
AXL	IGHG3
AXL	IGHG4
AXL	IGHM
AXL	IGHV1-2
AXL	IGHV1-46
AXL	IGHV1-69
AXL	IGHV2-5
AXL	IGHV2-70
AXL	IGHV3-11
AXL	IGHV3-13
AXL	IGHV3-23
AXL	IGHV3-30
AXL	IGHV3-33
AXL	IGHV3-48
AXL	IGHV3-53
AXL	IGHV3-7
AXL	IGHV3-9
AXL	IGHV4-34
AXL	IGHV4-39
AXL	IGHV4-59
AXL	IGKC
AXL	IGKV1-12
AXL	IGKV1-16
AXL	IGKV1-17
AXL	IGKV1-33
AXL	IGKV1-39
AXL	IGKV1-5
AXL	IGKV1D-12
AXL	IGKV1D-16
AXL	IGKV1D-33
